subj	trialNr	pos1	pos2	pos3	pos4	time1	time2	time3	timeText	reaTime	rX	rY	task
40	43	-0.180000016689301	-0.0299999995529652	0.119999995231628	0.270000030994415	1.5	1.5	1.5	440.6220887	441.2134299	-0.069963164627552	-0.252878129482269	viz.VizText(49)
40	44	-0.0700000061094761	0.0299999991059303	0.130000000596046	0.230000024437904	0.3	0.3	0.3	447.1762674	447.6104092	-0.311854392290115	-0.239585340023041	viz.VizText(49)
40	45	-0.170000022053719	-0.0199999993294477	0.129999997317791	0.280000040531158	0.3	0.3	0.3	453.5594337	454.0519063	0.132713511586189	-0.553386509418488	viz.VizText(50)
40	46	-0.160000016689301	-0.00999999955296516	0.139999995231628	0.290000030994415	1.5	1.5	1.5	463.6156081	464.3926977	0.226027727127075	-0.522461950778961	viz.VizText(49)
40	47	-0.0600000077486038	0.0399999993294477	0.139999995231628	0.240000019073486	0.9	0.9	0.9	472.1737029	473.0657277	0.260217905044556	-0.548096716403961	viz.VizText(49)
40	48	-0.0500000061094761	0.0499999991059303	0.150000000596046	0.250000024437904	0.9	0.9	0.9	480.8417242	481.7379019	0.248789101839066	-0.534363985061646	viz.VizText(49)
40	49	-0.150000011324882	2.23517418115882e-10	0.150000000596046	0.300000021457672	0.9	0.9	0.9	489.4817171	491.0322604	-0.0104194320738316	-0.258875846862793	viz.VizText(50)
40	50	-0.0600000044703484	0.0400000007450581	0.140000005960464	0.240000029802322	1.5	1.5	1.5	500.574775	501.4433743	0.104151017963886	-0.304054498672485	viz.VizText(49)
40	51	0.0199999993294477	0.0699999982118607	0.119999995231628	0.170000022053719	0.3	0.3	0.3	507.4194141	515.1459964	-0.391226708889008	-0.192051291465759	viz.VizText(49)
40	52	-0.0700000061094761	0.0299999991059303	0.130000000596046	0.230000024437904	1.5	1.5	1.5	524.7068925	525.4332576	-0.212489321827888	-0.237207815051079	viz.VizText(49)
40	53	-0.0800000077486038	0.0199999993294477	0.119999995231628	0.220000019073486	1.5	1.5	1.5	535.0052079	535.3177352	0.6480553150177	-0.0273055750876665	viz.VizText(50)
40	54	0.00999999955296516	0.0600000002980232	0.109999997317791	0.160000016689301	1.5	1.5	1.5	544.8875611	545.5241809	-0.0275308210402727	-0.0117051284760237	viz.VizText(50)
40	55	0.0199999997764826	0.0699999986588955	0.119999999403954	0.170000011324883	1.5	1.5	1.5	555.1075675	555.7088751	0.274560451507568	-0.162872657179832	viz.VizText(50)
40	56	-0.0900000056624412	0.00999999955296516	0.109999997317791	0.210000013709068	1.5	1.5	1.5	565.2940522	565.9466816	-0.272389650344849	-0.219930872321129	viz.VizText(50)
40	57	-0.160000005960464	-0.00999999977648259	0.140000005960464	0.290000011920929	0.3	0.3	0.3	571.9130872	572.4333502	-0.173225656151772	-0.335677593946457	viz.VizText(49)
40	58	-0.0800000035762787	0.0199999997764826	0.119999999403954	0.22000000834465	0.3	0.3	0.3	578.4111797	578.7658331	0.621383547782898	-0.184640377759933	viz.VizText(50)
40	59	-0.0900000056624412	0.00999999955296516	0.109999997317791	0.210000013709068	1.5	1.5	1.5	588.3265542	589.9611697	-0.295599788427353	-0.394135326147079	viz.VizText(50)
40	60	0.00999999955296516	0.0600000002980232	0.109999997317791	0.160000016689301	0.3	0.3	0.3	595.9361205	597.1793854	-0.11743152141571	-0.550869524478912	viz.VizText(49)
40	61	-0.150000011324882	2.23517418115882e-10	0.150000000596046	0.300000021457672	0.3	0.3	0.3	603.1543341	603.8552129	-0.491972863674164	-0.273113012313843	viz.VizText(49)
40	62	-0.100000003576279	-2.23517418115882e-10	0.0999999994039536	0.20000000834465	1.5	1.5	1.5	613.4249087	613.8840836	-0.418047726154327	-0.251076757907867	viz.VizText(49)
40	63	-0.160000005960464	-0.00999999977648259	0.140000005960464	0.290000011920929	1.5	1.5	1.5	623.4425392	624.6681049	0.368327230215073	-0.0733736529946327	viz.VizText(49)
40	64	-2.23517418115882e-10	0.0499999986588955	0.0999999994039536	0.150000011324882	0.9	0.9	0.9	632.4321512	632.731681	0.231032699346542	-0.387511938810349	viz.VizText(50)
40	65	-0.110000001490116	-0.0100000002235174	0.0900000014901161	0.190000002980232	1.5	1.5	1.5	642.30625	643.5933885	-0.0138161620125175	-0.16464875638485	viz.VizText(49)
40	66	-0.170000011324883	-0.0199999997764826	0.130000000596046	0.280000021457672	1.5	1.5	1.5	653.1571225	655.1177702	-0.0669324994087219	-0.0514317825436592	viz.VizText(50)
40	67	-0.180000016689301	-0.0299999995529652	0.119999995231628	0.270000030994415	0.3	0.3	0.3	661.0829061	661.5483702	-0.276303231716156	-0.114605598151684	viz.VizText(50)
40	68	-0.0100000002235174	0.0399999970197678	0.0900000014901161	0.140000005960464	1.5	1.5	1.5	671.1138956	672.0255251	-0.349542915821075	-0.251027554273605	viz.VizText(50)
40	69	-0.170000022053719	-0.0199999993294477	0.129999997317791	0.280000040531158	1.5	1.5	1.5	681.5893501	682.4993895	0.225455448031425	-0.338734924793243	viz.VizText(50)
40	70	-0.0999999994039536	2.23517418115882e-10	0.100000003576279	0.199999997615814	0.3	0.3	0.3	688.4522982	689.4731857	0.524904310703278	-0.171074777841568	viz.VizText(49)
40	71	-0.160000016689301	-0.00999999955296516	0.139999995231628	0.290000030994415	0.3	0.3	0.3	695.4368979	698.8250127	0.335597217082977	-0.742847561836243	viz.VizText(49)
